Time,Temperature (°F),Temperature (°C),Dew Point (°F),Dew Point (°C),Humidity (%),Wind Speed (miles per hour),Event Trigger
12:00 AM,85,29.4,76,24.4,74,6,0
1:00 AM,85,29.4,76,24.4,74,5,0
2:00 AM,84,28.9,75,23.9,74,8,0
3:00 AM,83,28.3,75,23.9,77,5,0
4:00 AM,83,28.3,75,23.9,77,7,0
5:00 AM,83,28.3,75,23.9,77,8,0
6:00 AM,84,28.9,75,23.9,74,7,0
7:00 AM,88,31.1,76,24.4,67,9,1
8:00 AM,91,32.8,76,24.4,61,9,1
9:00 AM,94,34.4,76,24.4,56,10,0
10:00 AM,96,35.6,76,24.4,52,9,0
11:00 AM,97,36.1,76,24.4,51,5,0
12:00 PM,100,37.8,75,23.9,45,9,0
1:00 PM,100,37.8,74,23.3,43,8,0
2:00 PM,102,38.9,72,22.2,38,13,0
3:00 PM,102,38.9,72,22.2,38,16,0
4:00 PM,100,37.8,73,22.8,42,10,0
5:00 PM,99,37.2,73,22.8,43,10,0
6:00 PM,97,36.1,74,23.3,47,8,0
7:00 PM,94,34.4,73,22.8,51,6,0
8:00 PM,92,33.3,74,23.3,55,7,0
9:00 PM,91,32.8,75,23.9,59,8,0
10:00 PM,90,32.2,76,24.4,63,12,1
11:00 PM,89,31.7,76,24.4,65,12,1
12:00 AM,70,21.1,55,12.8,60,3,0
1:00 AM,66,18.9,55,12.8,68,6,0
2:00 AM,64,17.8,54,12.2,68,5,0
3:00 AM,63,17.2,54,12.2,72,6,0
4:00 AM,63,17.2,52,11.1,68,5,0
5:00 AM,61,16.1,52,11.1,72,3,0
6:00 AM,66,18.9,57,13.9,73,6,0
7:00 AM,77,25,54,12.2,44,5,0
8:00 AM,82,27.8,52,11.1,35,3,0
9:00 AM,90,32.2,52,11.1,27,7,0
10:00 AM,93,33.9,52,11.1,24,5,0
11:00 AM,97,36.1,54,12.2,23,8,0
12:00 PM,99,37.2,50,10,19,9,0
1:00 PM,99,37.2,52,11.1,21,8,0
2:00 PM,99,37.2,55,12.8,24,7,0
